# Hymmnos（塔语）词典 · 共881条 · 来源 github.com/KevinOctavianus/hymmno（HymmnoLexicon 0.3）
# 列：词	词性	英文释义	原作例句	方言（Unknown [Unofficial] = 同好补充的非官方词，优先用官方词）
# 用法：grep -i "wind" 设定/参考/hymmnos词典.tsv   （按英文释义查词）
bengnuih	n.	evening, dusk		Central Standard Note
bexm	v.	come (time)	En 1 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
biron	v.	continue	Rrha ki ra biron wael wassa  —EXEC_SOL=FAGE/.	Central Standard Note
bister	n.	beast	chs bister en rana anw dor  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
boches	n.	mouth		Central Standard Note
boh	adj.	explosive, supernatural		Metafalss Note
brinch	n.	branch		Central Standard Note
briyante	n.	voices of delight, voices of joy	was yea ra messe anw briyante  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Metafalss Note
briyua	adjective	happy, joyful		Unknown [Unofficial]
burle	adj./n.	blue	celetille burle bautifal grrena  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
byui	conj.	blame, cause of	x. rre h.m.m.r. byui q.l.s. du sechel  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
c.z.	E.v.	transform	h.m.m.r. c.z. hymmnos sev  —METHOD_METAFALICA/.	New Testament of Pastalie
calamila	noun	catastrophe		Unknown [Unofficial]
cause	v.	curse, torment	Rrha paks ra chs shazra cause yor  —EXEC_DESPEDIA/.	Metafalss Note
cecet	n.	shield		Central Standard Note
ceku	n.	friend, comrade, companion, comrade		New Testament of Pastalie
celetille	adj.	vivid, clear, fresh, beautiful	celetille clalliss xel marta pom mea  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
celle	adv.	heavenly	ciel ar celle weak ar quive  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
cenjue	v.	change, transform (Note	Has stronger connotations than "chs". This one doesn't mean the "wish" to change, but rather actually changing. It's an orthodox word not used by normal people. If it's preceeded by "na", then it takes the opposite meaning: indicating extreme firmness and determination): en whai pauwel gaunji yasra whou na cenjue sor tou zuieg  —EXEC_CHRONICLE KEY	Metafalss Note
cerchio	n.	possibility		Central Standard Note
cest	adj./n.	of the true, true, real, truth	celetille clalliss cest innna mea  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
cexm	v.	come (person), visit	Faura cexm here shellan mea  —EXEC_SPHILIA/.	Central Standard Note
chanti	n./v.	praise, reward	weal acra yorr chanti mea  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
chess	n./v.	kiss	en chess won vinan jambea mea gigeadeth zeeth tie yor  —EXEC_DESPEDIA/.	
chiess	n./v.	kiss		Central Standard Note
chs	v.	become (Note	Used metaphorically for whenever one wishes to change completely. It has an enormous variety of uses): Was yea erra chs sheak en sol anw yeal  —EXEC_VIENA/.	Central Standard Note
chsee	v.	transform into ~ (Note	Indicates increase, partial change or reductions on oneself or in the target. In short, it's used to express partial physical change).: En chsee fwal fwal mea  —EXEC_LINKER	Central Standard Note
chyet	adj.	chosen, particular		Cult Ciel Note
cia	n.	sky	ar w.r.l. du cia dn ryewa keg  —METHOD_METAFALICA/.	New Testament of Pastalie
ciel	n.	sky, (translated usually as) world	Harr re heighte der gauzewiga oz ciel  —EXEC_METAFALICA/.	Central Standard Note
ciellenne	n.	the skies		Central Standard Note
cietta	conjunction	because, but, although		Unknown [Unofficial]
clalliss	n./v.	color	clalliss vinan frawr  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
clamour	n.	knee, lap	Hyear Ma num ra gyusya yorr dewee won clamour yor  —EXEC_DESPEDIA/.	Central Standard Note
clare	adj.	clear, transparent	lusye ar clare  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
clemezen	adj./n.	insane, insanity	Rrha yea ra dsier yor rol clemezen  —EXEC_DESPEDIA/.	Central Standard Note
clyncye	n.	purity, colorlessness	clyncye rudje clalliss mea  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
coall	verb	return		Unknown [Unofficial]
colga	n.	ice		Central Standard Note
colgen	v./adj.	freeze, frozen	Ween colgen fayra Race mea wis gigeadeth zeeth tie yor  —EXEC_DESPEDIA/.	Unknown [Unofficial]
coree	preposition	within my heart		Unknown [Unofficial]
corle	noun	shard, fragment		Unknown [Unofficial]
corpu	noun	body, flesh		Unknown [Unofficial]
crannidale	v.	share, (possible alternate translation) believe	crannidale infel en kapa  —EXEC_METAFALICA/.	Metafalss Note
cremia	v./n,	salvation	presia aterra cremia sos viuy lonfa  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
crown	n.	cup (for beverages)	Nnoi crown touwaka arsye yor  —The Heart Speaks	Unknown [Unofficial]
crudea	n.	anguish, suffering	van fandel crudea ousye  —EXEC_HARMONIOUS	Metafalss Note
crushue	v.	spin (fabric), (translated usually as) craft	Was yea ra enne en crushue gyen METAFALICA ee sosar  —Singing Hill - Harmonics FRELIA	Metafalss Note
cupla	n.	sin	na siss cupla  —EXEC_SPHILIA/.	Central Standard Note
cyuie	adj.	sad, sorrowful	Rrha cyuie gaya na ieeya crushue anw dornpica rhaplanca  —EXEC_HIBERNATION/.	Central Standard Note
cyurio	n.	reason, logic, order		Central Standard Note
d.n.	E.v.	dance		New Testament of Pastalie
d.n.g.	E.v.	pierce		Pastalie [Unofficial]
d.r.s.n.	E.v.	handed down, passed down, passed on	x. sorr d.r.s.n. sarla vl shen  —METHOD_METAFALICA/.	Pastalie [Unofficial]
d.s.s.n.	E.v.	accept the atonement		Pastalie [Unofficial]
d.z.	E.v.	die		New Testament of Pastalie
daedu	n.	eyesore, something ugly	x. sorr m.r.r. du daedu ag ujes  —METHOD_REPLEKIA/.	New Testament of Pastalie
daf	preposition	for, that		Unknown [Unofficial]
dand	n.	door		Central Standard Note
dauan	n.	dawn	Ma num ra slep faura etealune na dauan  —EXEC_HIBERNATION/.	Central Standard Note
dauane	adj.	of the dawn	wassee forgandal dauane keenis na nozess  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
dazua	n./adj.	darkness, dark	x. harr h.m.m.r. eje ag dazua  —METHOD_REPLEKIA/.	Pastalie [Unofficial]
dea	preposition, particle	with, by means of		Unknown [Unofficial]
deata	v.	judge, convict, administer judgment	Wassee fatere gyajlee deata  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
deggeez	v./n.	betray, disobey, betrayal	En yorr re deggeez art ciel  —EXEC_SPHILIA/.	Central Standard Note
degle	v.	destroy, overthrow, ruin		Cult Ciel Note
dejuy	n.	atonement		New Testament of Pastalie
deleir	n.	calamity, disaster	fatere tes pauwel chs deleir en ousye yor  —EXEC_CHRONICLE KEY	Alpha Note (EOLIA)
delij	v.	hate, shun, neglect	aiph yos delij zuieg en nedle eterne falfa  —EXEC_CHRONICLE KEY	Alpha Note (EOLIA)
den	conj.	however, but, still, and yet (Note	Connective for opposite sentences): llizz discest vine den kuhle  —The Heart Speaks	Central Standard Note
denera	n.	evil one	Was i ga denera wart  —EXEC_HIBERNATION/.	Central Standard Note
der	prep.	according to, by means of	yehar lamenza der soare mea  —EXEC_CHRONICLE KEY	Metafalss Note
desfel	adj./v.	hate, dislike, detestable, unpleasant	Yorr desfel  —EXEC_SPHILIA/.	Metafalss Note
dest	verb	destroy, obliterate, bring to an end		Unknown [Unofficial]
deu	preposition, particle	thus, therefore, and		Unknown [Unofficial]
dewee	v.	kneel	Hyear Ma num ra gyusya yorr dewee won clamour yor  —EXEC_DESPEDIA/.	Unknown [Unofficial]
dgal	n.	country, land	x. rre vege dgal a.u.k. zz papana  —METHOD_METAFALICA/.	Pastalie [Unofficial]
dhezeall	n./adj.	captive, prisoner, imprisoned	Ma num ra tictim yorr wis dhezeall DESPEDIA/.  —EXEC_DESPEDIA/.	Metafalss Note
diasee	n.	child of God	Rrha ki ra ferda jouee diasee  —EXEC_METAFALICA/.	Metafalss Note
didalia	adj.	large	tes didalia dorn  —EXEC_METAFALICA/.	Cult Ciel Note
dilete	n.	God's breath, God's divine protection (Song Magic effects is defense and status increases)	Was yea ra hymme dilete yor enter ar ciel yehar  —Singing Hill - Harmonics FRELIA	Central Standard Note
discest	v./n.	lie, cheat, trick	llizz discest vine den kuhle  —The Heart Speaks	Central Standard Note
dius	adj.	divine, sacred, precious, valuable, sublime, solemn, noble	Fou paks ra diasee sarrifis hyzik tes dius yor  —EXEC_LINKER	Cult Ciel Note
diviega	n., adj.	sacred sword, (derivative meaning) great wisdom	ya ya diviega ya ya ya ya ya enclone sor en rre hymmnos ee powel  —Singing Hill - Harmonics FRELIA	Cult Ciel Note
dje	n.	body	x. rre govan en wefa sarla f.w.r.n. du dje  —METHOD_METAFALICA/.	Pastalie [Unofficial]
dn	p.	(instrument/location/cause/time marker) (Note	Used to indicate means. Equivalent to the English "by").: ag t.n. za v.t. dn balduo sefanl  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	New Testament of Pastalie
doodu	n.	ground, earth	x. rre rhaplanca t.n.m.n. poe ess gkgul doodu  —METHOD_METAFALICA/.	New Testament of Pastalie
dople	v.	remove, exclude, reject	tasyue anw ciel en dople anw omnis lamenza  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
dor	n.	ground, continent	Ar dor ar dor  —EXEC_METAFALICA/.	Central Standard Note
dorn	n.	tree, wood	sara dorn fhyu hymma  —Singing Hill	Central Standard Note
dornpica	n.	nut, fruit, seed	Was yea ra crushue anw yehah dornpica rhaplanca  —EXEC_HIBERNATION/.	Cult Ciel Note
dralee	v./n.	Offer, offering		Unknown [Unofficial]
drone	v.	download, take in	exec drone hymmnos enter yor  —Singing Hill	Central Standard Note
dsier	n.	desire	gott getrra dsier gyusya mea  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
du	p.	(direct object marker)	x. harr k.v.r. du qejyu  —METHOD_REPLEKIA/.	New Testament of Pastalie
dyya	n.	day (Note	Used only for phrases such as "one day" or "that day". For phrases with aa definite number of days, "dyyal" is used instead)	Central Standard Note
dyyal	n.	days (counter suffix)	En 1 dyyal nuih bexm  —EXEC_HIBERNATION/.	Central Standard Note
eazas	adj.	mutually (Note	It can be attached to the end of a verb, like this: "hartes eazas" -> "mutual love"): Was quel erra chs lusye eazas  —EXEC_VIENA/.	Central Standard Note
echrra	v.	resonate	Ar ciel en echrra eje  —EXEC_with.METHOD_METAFALICA/.	Central Standard Note
ee	v.	exalt, praise	Urr dius dor ee  —EXEC_METAFALICA/.	Metafalss Note
eetor	n.	other (side/person)		Central Standard Note
eje	n.	heart, mind, feeling	Ar ciel en echrra eje  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
elle	prep.	from, out of (Note	It's similar in meaning and use to the English "from"): elle nnoi na haf yasra wharn  —EXEC_SPHILIA/.	Central Standard Note
elye	adv.	hitherto, yet		New Testament of Pastalie
en	conj.	and, because, for (Note	Direct equivalent to the English "and"): en weel waath dius manaf Yat  —EXEC_LINKER	Central Standard Note
enclone	v.	wrap up	Presia yasra lusye enclone anw omnis  —EXEC_HARMONIOUS	Metafalss Note
endia	v.	stop, end	Sos yor yanje revm na endia revm yehah revm  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
ene	v.	think, feel deeply	Wee yea ra ene foul enrer  —Hoshiyomi ~HOSHIYOMI~	Cult Ciel Note
enegd	v.	become numb		Central Standard Note
enerel	adv.	always, forever		Cult Ciel Note
enesse	n.	emotion	walasye near enesse mea paul li ciel  —Colors~SEN~Will This Flower Bloom?	Cult Ciel Note
engassya	n.	sacrifice		Central Standard Note
engua	adjective	predestined, inevitable, unchangeable		Unknown [Unofficial]
enne	n.	prayer, request (with good intentions)	Was yea ra enne ar ciel  —EXEC_HIBERNATION/.	Central Standard Note
enrer	adv.	always, usually	Wee yea ra ene foul enrer  —Singing Hill	Cult Ciel Note
enter	verb	enter	Nn i ga exec hymme METAFALICA >> SOL=FAGE/1x10 enter FRELIA  —EXEC_METAFALICA/.	Central Standard Note
envied	adjective	stupid, idiotic		Unknown [Unofficial]
enw	conj.	while doing ~	was yea ra wael yorr uteu enw fernia  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
erlla	adjective, adverb	very much, more, further		Unknown [Unofficial]
erphy	noun	memory, rememberance		Unknown [Unofficial]
erra	E.s. III	I want this to last eternally	Was yea erra chs sheak en sol anw yeal  —EXEC_VIENA/.	Central Standard Note
ess	prep.	(instrument/location/cause/time marker) (Note	Equivalent to the English "in"): x. rre omness a.u.k. zodaw ess rudje noglle doodu  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	New Testament of Pastalie
et	adj.	large	Wee yea ra hymme hymmnos harmon en syast et wi powel  —Singing Hill - Harmonics FRELIA	Central Standard Note
eta	v.	eat	Was paks ra eta bautifal faura tes dornpica  —EXEC_HIBERNATION/.	Central Standard Note
etealune	n.	eternity	Ma num ra slep faura etealune na dauan  —EXEC_HIBERNATION/.	Metafalss Note
eterne	n.	eternity	Was au ga chs mea eterne manaf  —EXEC_LINKER	Alpha Note (EOLIA)
eux	n.	eye		Central Standard Note
ewle	adj.	long		Unknown [Unofficial]
exali	adj.	radiant, dazzling	x. rre exali sarr w.r.m. anw sphaela  —METHOD_IMPLANTA/.	Pastalie [Unofficial]
exec	v.	execute, put into practise	Wee yea ra exec hymme VIENA >> SOL=FAGE/1x10 enter FRELIA  —EXEC_VIENA/.	Central Standard Note
f.p.n.	E.v.	downpour	x. rre vonn papana f.p.n. ut kvyeire qoga iem  —EXEC_over.METHOD_SUBLIMATION/.~lamenza	Pastalie [Unofficial]
f.r.l.	E.v.	be frightened	x. rre f.r.l. h.l.s.s. ayulsa dazua  —METHOD_REPLEKIA/.	New Testament of Pastalie
f.s.	E.v	whisper, murmur	y.z.t. za rre vega f.s. t.k.d. ag zz t.k.d. tie hartes yor  —METHOD_METAFALICA/.	New Testament of Pastalie
f.w.r.	E.v.	accept		New Testament of Pastalie
f.w.r.n.	E.v.	surround, enfold	f.w.r.n. yor herr en harr mea infel  —EXEC_with.METHOD_METAFALICA/.	New Testament of Pastalie
faf	adj.	scary, frightening	wee paks ga faf yora accrroad mea  —EXEC_SPHILIA/.	Cult Ciel Note
faiy	adj.	momentary, transient		Unknown [Unofficial]
faja	v.	advance, make progress (Note	It's used for indicating the advancing of an individual or small groups. For the advancing of large groups, "Zahha" it's used instead).	Cult Ciel Note
falfa	n.	peace	aiph yos delij zuieg en nedle eterne falfa  —EXEC_CHRONICLE KEY	Unknown [Unofficial]
famfa	v.	fly, flap wings	Chs hymma en famfa der ciel  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
fanalea	adj.	loudly, sonorously		Unknown [Unofficial]
fandel	adj.	many, in great numbers	w.n.s. rhaplanca ween fandel walasye  —EXEC_with.METHOD_METAFALICA/.	Metafalss Note
fane	n.	affection, kindness, love	wassee anw fane lusye  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
fatele	n.	father	Faura sonwe murfan anw fatele  —EXEC_HARMONIOUS	Metafalss Note
fatere	adv.	if not ~ then probably ~	fatere tes pauwel chs deleir en ousye yor  —EXEC_CHRONICLE KEY	Central Standard Note
fau	n.	bird (Note	not used for small birds): der sacra rol fau ween leaff  —EXEC_HARMONIOUS_FUSION/.	Metafalss Note
faura	n.	small/baby bird	Was yea ra vit bautifal faura anw dornpica  —EXEC_HIBERNATION/.	Metafalss Note
fayra	n.	fire, blaze	rivire plina fayra clalliss sphilar  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
fedyya	n.	tomorrow (Note	Can also mean "future"): Nnoi fedyya murfan arsye yor  —The Heart Speaks	Central Standard Note
fee	n.	wind	Wee yea ra enne ar fee ar dor ar ciel  —EXEC_LINKER	Unknown [Unofficial]
ferda	v.	dwell, live in	Presia yehar zadius rum ferda yor der sarla mea  —EXEC_HARMONIOUS	Metafalss Note
fernia	v.	smile	was yea ra wael yorr uteu enw fernia  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Cult Ciel Note
fhau	noun	light		Unknown [Unofficial]
fhauri	adjective	light-borne		Unknown [Unofficial]
fhyu	n.	wind	Ma num wa nnoini li fhyu  —Colors~SEN~Will This Flower Bloom?	Central Standard Note
firanzia	n.	end of the world		Unknown [Unofficial]
firga	noun	past		Unknown [Unofficial]
firle	v.	feel, sense	Whai firle hierle so  —EXEC_SPHILIA/.	Metafalss Note
flare	v.	float, suspend (in the air)		Central Standard Note
flip	v.	reverse, command for flip-flop conversion	Ma num ra flip 0x1011001001 yor  —Singing Hill	Cult Ciel Note
fluy	n.	spring, well	Fowrlle art fluy presia sonwe  —EXEC_SPHILIA/.	Central Standard Note
focs	adj.	deep, thick		Unknown [Unofficial]
fogabe	v.	forgive, allow, pardon	Was ki ra na fogabe anw sial gyaje  —EXEC_over.METHOD_SUBLIMATION/.~omness chs ciel sos infel	Central Standard Note
folten	prep.	before (position/direction), in front of		Central Standard Note
forgandal	Con.	Because of...!	Rrha yea ra haf yor forgandal  —EXEC_DESPEDIA/.	Cult Ciel Note
forlindel	n.	head family of a village		Cult Ciel Note
forlinden	n.	village		Cult Ciel Note
foul	n.	wonder, miracle, mystery	Wee yea ra ene foul enrer  —Singing Hill	Cult Ciel Note
fountaina	v./adj.	fill up, cover, hide (Note	It can also be used as an adjective to indicate the amount and scope of something): fountaina yor der rudje  —EXEC_HARMONIOUS_FUSION/.	Central Standard Note
fowrlle	v./n.	comfort, heal, relaxation	na fowrlle heighte  —EXEC_SPHILIA/.	Central Standard Note
frawr	n.	flower	chs frawr  —Hoshiyomi ~HOSHIYOMI~	Central Standard Note
frawrle	n.	spring (season)		Cult Ciel Note
frissoner	v.	shiver	Rrha ki ra frissoner mea spiritum  —EXEC_SOL=FAGE/.	Central Standard Note
frreie	v.	release	Was yea ra frreie yor wart en chs manaf an yor  —EXEC_LINKER	Unknown [Unofficial]
fs	n.	breeze (when it has an "E" emotion vowel in front, its meaning changes to "whisper").		New Testament of Pastalie
ftt	v.	vanish	Gat fusya en ciel ftt  —EXEC_VIENA/.	Central Standard Note
fulual	v.	come true (wish)	fulual 1 dornpica art 1 walasye enne  —EXEC_HIBERNATION/.	Central Standard Note
fusya	v.	wrap	Gat fusya en ciel ftt  —EXEC_VIENA/.	Central Standard Note
futare	n.	future	van futare parge iem  —EXEC_VIENA/.	Central Standard Note
fwal	n./v.	wing, advance, transport	En chsee fwal fwal mea  —EXEC_LINKER	Cult Ciel Note
fwilla	n.	drop, droplet	fwilla selena yasra sarla  —Colors~SEN~Will This Flower Bloom?	
fwillra	n.	feather, plumage, petal (Note	contrary to "fwal", which means "wings", "fwirlla" only refers to the feathers and plumage): sash fwillra ween papana  —EXEC_SPHILIA/.	Cult Ciel Note
g.k.n.	E.v.	eat		New Testament of Pastalie
g.v.w.	E.v.	fight, battle	s.l.y. yor sev x. rre yorr g.v.w. en x.y.n.  —METHOD_METAFALICA/.	Pastalie [Unofficial]
g.w.f.r.	E.v.	judge		New Testament of Pastalie
g.w.n.	Emotion Verb	lead, guide		Pastalie [Unofficial]
